Seq,COPx,COPy
374,0.010732,0.026907
375,0.009939,0.027178
376,0.009281,0.027619
377,0.008866,0.028198
378,0.008767,0.028896
379,0.008864,0.029709
380,0.009087,0.030471
381,0.009367,0.030949
382,0.009593,0.031223
383,0.009748,0.031516
384,0.009853,0.031845
385,0.00991,0.032174
386,0.009875,0.032589
387,0.009809,0.03305
388,0.009686,0.033466
389,0.009624,0.03365
390,0.009666,0.033411
391,0.009788,0.032661
392,0.010038,0.03131
393,0.010396,0.029461
394,0.010754,0.027399
395,0.011141,0.025301
396,0.011556,0.023283
397,0.011992,0.021507
398,0.012514,0.01996
399,0.0132,0.018619
400,0.013997,0.017447
401,0.014852,0.016517
402,0.015688,0.015915
403,0.016462,0.015708
404,0.017111,0.01582
405,0.017671,0.016259
406,0.018255,0.01694
407,0.018952,0.017775
408,0.01979,0.018679
409,0.020689,0.019631
410,0.021612,0.020559
411,0.022522,0.021282
412,0.023318,0.021802
413,0.024006,0.022323
414,0.024553,0.022916
415,0.025015,0.023468
416,0.025431,0.023988
417,0.025847,0.024577
418,0.026273,0.025167
419,0.026731,0.02565
420,0.027197,0.026
421,0.027633,0.026189
422,0.027946,0.026272
423,0.028157,0.026201
424,0.028212,0.025903
425,0.028169,0.025466
426,0.028092,0.024989
427,0.027949,0.024514
428,0.027747,0.0241
429,0.027529,0.023799
430,0.027416,0.023562
431,0.027412,0.023307
432,0.027363,0.022798
433,0.027167,0.022062
434,0.026888,0.021328
435,0.026539,0.020658
436,0.026077,0.020082
437,0.025495,0.019599
438,0.0249,0.019246
439,0.024415,0.019095
440,0.024039,0.019078
441,0.023703,0.019043
442,0.023369,0.019013
443,0.022966,0.019062
444,0.022519,0.01917
445,0.022077,0.019338
446,0.021826,0.019583
447,0.021891,0.019917
448,0.022199,0.020218
449,0.022689,0.020403
450,0.023284,0.020373
451,0.023809,0.020126
452,0.024185,0.019753
453,0.024456,0.019316
454,0.024649,0.018837
455,0.024856,0.018372
456,0.025223,0.017967
457,0.025779,0.017608
458,0.026454,0.017271
459,0.027213,0.017006
460,0.027905,0.016802
461,0.02848,0.016552
462,0.028891,0.016309
463,0.029141,0.016162
464,0.029272,0.016092
465,0.029374,0.016096
466,0.029533,0.016081
467,0.02972,0.016077
468,0.02999,0.016115
469,0.030441,0.01624
470,0.031048,0.01646
471,0.031795,0.01676
472,0.032625,0.017184
473,0.033496,0.017686
474,0.034328,0.018207
475,0.035063,0.01872
476,0.035708,0.01922
477,0.036299,0.019687
478,0.036856,0.020176
479,0.037376,0.020734
480,0.037779,0.02127
481,0.038077,0.021645
482,0.03827,0.02187
483,0.038389,0.022025
484,0.038542,0.022196
485,0.038719,0.022495
486,0.038861,0.022922
487,0.038922,0.023417
488,0.03899,0.023997
489,0.03906,0.024758
490,0.03913,0.025861
491,0.039212,0.027195
492,0.039374,0.028758
493,0.039744,0.030415
494,0.040166,0.032127
495,0.040519,0.033807
496,0.040661,0.035382
497,0.040605,0.036834
498,0.040448,0.038237
499,0.040254,0.039769
500,0.040077,0.04133
501,0.039861,0.042627
502,0.039603,0.043389
503,0.039309,0.043652
504,0.039005,0.043655
505,0.03862,0.043423
506,0.038206,0.043002
507,0.037823,0.04254
508,0.037504,0.042019
509,0.037214,0.041317
510,0.036922,0.040414
511,0.03666,0.039486
512,0.036491,0.038942
513,0.036495,0.038865
514,0.036542,0.038938
515,0.036552,0.039066
516,0.036459,0.039295
517,0.036234,0.039578
518,0.035872,0.039867
519,0.035399,0.040132
520,0.034844,0.040331
521,0.034228,0.040519
522,0.033604,0.040887
523,0.032983,0.041459
524,0.032301,0.042059
525,0.031556,0.042632
526,0.030684,0.043274
527,0.029687,0.043735
528,0.02867,0.043819
529,0.027582,0.0437
530,0.026536,0.043506
531,0.025564,0.04317
532,0.024583,0.042737
533,0.023474,0.042189
534,0.02219,0.041376
535,0.020862,0.040225
536,0.01967,0.038863
537,0.01868,0.037526
538,0.017931,0.036399
539,0.017389,0.035555
540,0.016988,0.035059
541,0.016713,0.03471
542,0.016542,0.034416
543,0.016433,0.034225
544,0.016348,0.034166
545,0.016354,0.034147
546,0.01647,0.034125
547,0.016777,0.034121
548,0.01723,0.03415
549,0.017719,0.034171
550,0.018129,0.034159
551,0.018544,0.034062
552,0.018997,0.033774
553,0.019497,0.033248
554,0.020076,0.032537
555,0.020645,0.031811
556,0.021204,0.031107
557,0.021702,0.030332
558,0.022135,0.029384
559,0.022484,0.028191
560,0.022714,0.026659
561,0.022863,0.024838
562,0.023005,0.022939
563,0.023126,0.021146
564,0.023204,0.019565
565,0.023275,0.018157
566,0.023378,0.016932
567,0.023528,0.015854
568,0.023728,0.014734
569,0.023916,0.013521
570,0.024061,0.012311
571,0.02417,0.011175
572,0.024348,0.010244
573,0.024719,0.009549
574,0.025253,0.009016
575,0.026025,0.008595
576,0.027171,0.008321
577,0.028682,0.008176
578,0.030452,0.008022
579,0.032149,0.007815
580,0.033591,0.007692
581,0.034839,0.007755
582,0.03601,0.008128
583,0.037191,0.008842
584,0.038471,0.010058
585,0.039959,0.011621
586,0.041478,0.013254
587,0.042839,0.014866
588,0.043929,0.016567
589,0.044861,0.018403
590,0.045696,0.020335
591,0.046425,0.022396
592,0.047006,0.024348
593,0.047372,0.025893
594,0.047515,0.026821
595,0.047567,0.027147
596,0.047579,0.027139
597,0.047573,0.027032
598,0.047648,0.02677
599,0.047808,0.026353
600,0.048079,0.025762
601,0.048389,0.025117
602,0.048718,0.024605
603,0.049048,0.024321
604,0.049325,0.02436
605,0.049534,0.024605
606,0.049687,0.024999
607,0.049752,0.02553
608,0.049757,0.026005
609,0.049669,0.026387
610,0.049364,0.026622
611,0.048883,0.02667
612,0.048313,0.026583
613,0.047694,0.026443
614,0.047041,0.026243
615,0.046298,0.025988
616,0.045393,0.025727
617,0.044382,0.025535
618,0.043327,0.025449
619,0.042292,0.02554
620,0.04126,0.025736
621,0.040131,0.026007
622,0.038778,0.026139
623,0.037127,0.025935
624,0.03548,0.025454
625,0.034033,0.024731
626,0.032819,0.023836
627,0.031744,0.022911
628,0.030741,0.021985
629,0.029684,0.021075
630,0.028561,0.020151
631,0.027334,0.019258
632,0.026052,0.018399
633,0.024903,0.017567
634,0.024054,0.016792
635,0.023612,0.016154
636,0.023526,0.015606
637,0.023672,0.015179
638,0.023867,0.014915
639,0.023979,0.014906
640,0.024056,0.015088
641,0.024113,0.015541
642,0.024214,0.016194
643,0.024404,0.016963
644,0.024815,0.017807
645,0.025327,0.018738
646,0.025875,0.019826
647,0.026374,0.021283
648,0.026778,0.023206
649,0.027111,0.025354
650,0.027387,0.027607
651,0.027603,0.029923
652,0.027825,0.032168
653,0.028018,0.034202
654,0.028166,0.035785
655,0.028183,0.036703
656,0.028225,0.037051
657,0.028417,0.036984
658,0.028778,0.036562
659,0.029262,0.035856
660,0.029859,0.034941
661,0.030484,0.033885
662,0.030997,0.032826
663,0.031363,0.031877
664,0.031587,0.031118
665,0.031618,0.030724
666,0.031649,0.030764
667,0.031739,0.031191
668,0.031885,0.031856
669,0.031988,0.032755
670,0.031998,0.033702
671,0.031879,0.034566
672,0.031605,0.035368
673,0.031164,0.036259
674,0.030625,0.037336
675,0.030082,0.038649
676,0.029663,0.040122
677,0.029339,0.04165
678,0.028981,0.043183
679,0.028416,0.044472
680,0.027648,0.045492
681,0.026712,0.046431
682,0.025643,0.047338
683,0.024556,0.047926
684,0.023402,0.048056
685,0.022128,0.047854
686,0.020599,0.047445
687,0.018859,0.046767
688,0.017031,0.045944
689,0.015146,0.045235
690,0.013304,0.044767
691,0.011525,0.044435
692,0.009799,0.044196
693,0.0082,0.044065
694,0.006718,0.04402
695,0.005374,0.044083
696,0.004165,0.044368
697,0.003061,0.04491
698,0.002047,0.045775
699,0.001086,0.047113
700,0.000265,0.048847
701,-0.000271,0.050684
702,-0.000397,0.052097
703,-0.00024,0.05277
704,-0.000091,0.05315
705,0.000071,0.053696
706,0.000296,0.054479
707,0.00049,0.055331
708,0.000543,0.056086
709,0.000459,0.056549
710,0.000396,0.056607
711,0.000496,0.056225
712,0.000705,0.055428
713,0.000934,0.054333
714,0.001148,0.052853
715,0.001352,0.05084
716,0.00173,0.048248
717,0.002473,0.045222
718,0.003543,0.0419
719,0.004727,0.0385
720,0.005874,0.035225
721,0.006864,0.0324
722,0.007743,0.030113
723,0.008703,0.028213
724,0.009934,0.026627
725,0.011473,0.025256
726,0.013145,0.0237
727,0.014687,0.021742
728,0.016051,0.019677
729,0.017434,0.017727
730,0.018753,0.015974
731,0.019941,0.014447
732,0.021036,0.013163
733,0.022056,0.012188
734,0.022987,0.011507
735,0.023891,0.011141
736,0.024774,0.011146
737,0.025565,0.011441
738,0.026306,0.01181
739,0.026917,0.012105
740,0.027352,0.01232
741,0.027677,0.012364
742,0.027964,0.012206
743,0.028289,0.011789
744,0.028671,0.011019
745,0.029107,0.010026
746,0.029564,0.008811
747,0.029914,0.007551
748,0.03016,0.006427
749,0.030303,0.005422
750,0.030444,0.004488
751,0.030604,0.003721
752,0.030781,0.003219
753,0.030969,0.002942
754,0.031136,0.002955
755,0.031284,0.00321
756,0.031408,0.003733
757,0.031541,0.004357
758,0.031684,0.005057
759,0.03194,0.005833
760,0.032257,0.006625
761,0.03252,0.007505
762,0.032777,0.008472
763,0.032984,0.009558
764,0.033085,0.010736
765,0.033038,0.011884
766,0.03296,0.012934
767,0.032982,0.013898
768,0.033109,0.014847
769,0.033305,0.015974
770,0.033677,0.017229
771,0.03425,0.018812
772,0.035076,0.020666
773,0.035995,0.022574
774,0.036933,0.02429
775,0.03781,0.025755
776,0.038631,0.026814
777,0.039306,0.02745
778,0.039689,0.027768
779,0.039846,0.027819
780,0.039849,0.027702
781,0.039729,0.027766
782,0.039636,0.028334
783,0.039797,0.029211
784,0.04019,0.030224
785,0.040728,0.031407
786,0.041188,0.032589
787,0.041492,0.033645
788,0.041736,0.034723
789,0.041959,0.035976
790,0.042217,0.037402
791,0.042458,0.038971
792,0.042664,0.040709
793,0.042752,0.042587
794,0.042604,0.044492
795,0.042172,0.046457
796,0.041479,0.048929
797,0.040714,0.052198
798,0.03992,0.055866
799,0.039124,0.05952
800,0.038321,0.062887
801,0.037557,0.06585
802,0.036791,0.06808
803,0.036062,0.069166
804,0.035226,0.069499
805,0.034399,0.069647
806,0.03374,0.069571
807,0.033112,0.069245
808,0.032459,0.068947
809,0.031817,0.068723
810,0.031126,0.068383
811,0.030334,0.068051
812,0.029465,0.067786
813,0.028517,0.067585
814,0.027467,0.06762
815,0.026379,0.067856
816,0.025278,0.067961
817,0.024227,0.067737
818,0.023237,0.067126
819,0.022461,0.066194
820,0.021858,0.065117
821,0.021423,0.064189
822,0.021134,0.063656
823,0.020949,0.063552
824,0.020809,0.063518
825,0.020773,0.063288
826,0.020843,0.062857
827,0.02114,0.062247
828,0.021645,0.061469
829,0.022338,0.060598
830,0.023151,0.059692
831,0.023965,0.058711
832,0.024772,0.057542
833,0.025571,0.056011
834,0.026395,0.053998
835,0.027208,0.051654
836,0.027787,0.049994
837,0.028367,0.049556
838,0.029055,0.049859
839,0.02985,0.050409
840,0.030544,0.051137
841,0.031013,0.051905
842,0.031227,0.052433
843,0.03121,0.052687
844,0.031032,0.052742
845,0.030859,0.052805
846,0.030787,0.053075
847,0.030948,0.053428
848,0.031475,0.05339
849,0.032268,0.052787
850,0.033163,0.05169
851,0.034068,0.050009
852,0.034864,0.048077
853,0.03562,0.046209
854,0.03639,0.044381
855,0.037146,0.042462
856,0.037916,0.040217
857,0.038515,0.037667
858,0.038885,0.035008
859,0.039078,0.032357
860,0.039117,0.029814
861,0.039141,0.027519
862,0.039242,0.025473
863,0.039455,0.023614
864,0.039747,0.021955
865,0.040098,0.020526
866,0.040379,0.019226
867,0.040507,0.018094
868,0.040424,0.017283
869,0.04018,0.016895
870,0.039817,0.016974
871,0.039437,0.017397
872,0.039103,0.018009
873,0.038805,0.018721
874,0.038451,0.019507
875,0.037971,0.020193
876,0.037447,0.02059
877,0.036812,0.020563
878,0.036059,0.019989
879,0.035391,0.018908
880,0.03469,0.017401
881,0.033889,0.015705
882,0.033048,0.014041
883,0.032179,0.012444
884,0.031232,0.010877
885,0.030085,0.00932
886,0.028766,0.007835
887,0.027234,0.006484
888,0.025509,0.005399
889,0.023646,0.004661
890,0.021834,0.004288
891,0.020335,0.004137
892,0.019279,0.004161
893,0.018655,0.00427
894,0.018431,0.00427
895,0.018409,0.004045
896,0.018447,0.003869
897,0.018451,0.003886
898,0.018438,0.004065
899,0.018444,0.00442
900,0.018505,0.004918
901,0.018617,0.005475
902,0.018793,0.005952
903,0.019012,0.006267
904,0.019231,0.006575
905,0.019413,0.006954
906,0.019635,0.007377
907,0.019889,0.007847
908,0.02014,0.008422
909,0.020416,0.009114
910,0.02064,0.010032
911,0.020765,0.011707
912,0.020723,0.014389
913,0.020766,0.017795
914,0.020972,0.021632
915,0.021143,0.025567
916,0.021072,0.029648
917,0.020777,0.03399
918,0.02033,0.038612
919,0.019741,0.043291
920,0.01899,0.04795
921,0.018019,0.052327
922,0.016976,0.055866
923,0.016205,0.058466
924,0.015981,0.060372
925,0.016372,0.061366
926,0.01698,0.061437
927,0.017671,0.060855
928,0.018643,0.059713
929,0.019573,0.058169
930,0.02031,0.056539
931,0.020869,0.055029
932,0.021214,0.053633
933,0.021454,0.052322
934,0.021678,0.051147
935,0.021891,0.050297
936,0.022119,0.04982
937,0.022342,0.049561
938,0.022538,0.049439
939,0.02264,0.049555
940,0.022715,0.049881
941,0.02284,0.050277
942,0.02296,0.050746
943,0.023016,0.051312
944,0.022995,0.05212
945,0.023007,0.053267
946,0.023091,0.054903
947,0.023268,0.056915
948,0.023471,0.058946
949,0.023615,0.060805
950,0.023703,0.062411
951,0.023695,0.06362
952,0.023655,0.064178
953,0.023632,0.063864
954,0.023658,0.062864
955,0.023772,0.061445
956,0.024002,0.05975
957,0.024286,0.058097
958,0.024672,0.056856
959,0.025189,0.056027
960,0.025665,0.055731
961,0.026282,0.056194
962,0.027023,0.05725
963,0.027828,0.058636
964,0.028612,0.060026
965,0.029418,0.061035
966,0.030295,0.061582
967,0.031213,0.061685
968,0.032182,0.061526
969,0.033275,0.06145
970,0.034413,0.061807
971,0.035583,0.062404
972,0.036686,0.062803
973,0.037677,0.0626
974,0.038555,0.061813
975,0.039281,0.060692
976,0.039924,0.05928
977,0.040525,0.057662
978,0.041173,0.055964
979,0.041969,0.053916
980,0.042895,0.051325
981,0.043925,0.0481
982,0.044832,0.044441
983,0.045549,0.04106
984,0.046128,0.038769
985,0.046769,0.037709
986,0.047598,0.037171
987,0.048488,0.036696
988,0.049367,0.036336
989,0.050105,0.036021
990,0.050729,0.035581
991,0.051226,0.034965
992,0.051614,0.034257
993,0.051982,0.033472
994,0.052388,0.03257
995,0.052766,0.031638
996,0.052943,0.030722
997,0.052962,0.029779
998,0.052918,0.028917
999,0.052814,0.028349
1000,0.052684,0.028071
1001,0.052532,0.027973
1002,0.052302,0.027901
1003,0.052015,0.027708
1004,0.051681,0.027212
1005,0.051283,0.026445
1006,0.050865,0.025574
1007,0.050496,0.024685
1008,0.050167,0.02384
1009,0.049823,0.023043
1010,0.049458,0.022302
1011,0.048995,0.021539
1012,0.048417,0.020757
1013,0.047771,0.02006
1014,0.047084,0.01957
1015,0.046411,0.019304
1016,0.045729,0.019277
1017,0.045042,0.019552
1018,0.044333,0.020106
1019,0.043543,0.020878
1020,0.042599,0.021877
1021,0.041583,0.023178
1022,0.040594,0.024633
1023,0.039897,0.026052
1024,0.039382,0.027541
1025,0.038932,0.029329
