Time,CoPx,CoPy
0.788000,0.003633,0.065711
0.789000,0.003616,0.065715
0.790000,0.003608,0.065725
0.791000,0.003604,0.065734
0.792000,0.003591,0.065734
0.793000,0.003575,0.065740
0.794000,0.003554,0.065749
0.795000,0.003533,0.065758
0.796000,0.003517,0.065762
0.797000,0.003508,0.065764
0.798000,0.003500,0.065767
0.799000,0.003483,0.065773
0.800000,0.003458,0.065775
0.801000,0.003433,0.065787
0.802000,0.003417,0.065791
0.803000,0.003404,0.065791
0.804000,0.003387,0.065795
0.805000,0.003371,0.065801
0.806000,0.003350,0.065804
0.807000,0.003326,0.065812
0.808000,0.003301,0.065818
0.809000,0.003281,0.065823
0.810000,0.003260,0.065826
0.811000,0.003244,0.065835
0.812000,0.003219,0.065835
0.813000,0.003198,0.065840
0.814000,0.003182,0.065850
0.815000,0.003158,0.065852
0.816000,0.003141,0.065844
0.817000,0.003125,0.065841
0.818000,0.003112,0.065846
0.819000,0.003100,0.065845
0.820000,0.003076,0.065847
0.821000,0.003059,0.065850
0.822000,0.003043,0.065844
0.823000,0.003022,0.065835
0.824000,0.003006,0.065837
0.825000,0.002985,0.065845
0.826000,0.002965,0.065842
0.827000,0.002944,0.065841
0.828000,0.002924,0.065847
0.829000,0.002907,0.065841
0.830000,0.002887,0.065848
0.831000,0.002862,0.065850
0.832000,0.002842,0.065853
0.833000,0.002825,0.065847
0.834000,0.002809,0.065841
0.835000,0.002792,0.065841
0.836000,0.002772,0.065839
0.837000,0.002755,0.065833
0.838000,0.002743,0.065830
0.839000,0.002731,0.065827
0.840000,0.002723,0.065823
0.841000,0.002706,0.065819
0.842000,0.002694,0.065825
0.843000,0.002677,0.065827
0.844000,0.002661,0.065829
0.845000,0.002653,0.065831
0.846000,0.002645,0.065834
0.847000,0.002637,0.065836
0.848000,0.002624,0.065831
0.849000,0.002608,0.065829
0.850000,0.002595,0.065824
0.851000,0.002587,0.065818
0.852000,0.002574,0.065813
0.853000,0.002566,0.065802
0.854000,0.002558,0.065800
0.855000,0.002545,0.065795
0.856000,0.002529,0.065785
0.857000,0.002521,0.065776
0.858000,0.002512,0.065774
0.859000,0.002504,0.065772
0.860000,0.002492,0.065765
0.861000,0.002479,0.065760
0.862000,0.002475,0.065765
0.863000,0.002458,0.065757
0.864000,0.002446,0.065752
0.865000,0.002442,0.065755
0.866000,0.002438,0.065758
0.867000,0.002434,0.065755
0.868000,0.002434,0.065749
0.869000,0.002425,0.065749
0.870000,0.002421,0.065752
0.871000,0.002413,0.065744
0.872000,0.002413,0.065744
0.873000,0.002413,0.065744
0.874000,0.002400,0.065739
0.875000,0.002392,0.065731
0.876000,0.002392,0.065720
0.877000,0.002388,0.065723
0.878000,0.002388,0.065723
0.879000,0.002380,0.065715
0.880000,0.002371,0.065713
0.881000,0.002367,0.065710
0.882000,0.002359,0.065710
0.883000,0.002351,0.065704
0.884000,0.002351,0.065707
0.885000,0.002342,0.065701
0.886000,0.002330,0.065690
0.887000,0.002313,0.065676
0.888000,0.002313,0.065672
0.889000,0.002305,0.065661
0.890000,0.002293,0.065650
0.891000,0.002285,0.065635
0.892000,0.002284,0.065622
0.893000,0.002276,0.065605
0.894000,0.002272,0.065613
0.895000,0.002272,0.065605
0.896000,0.002272,0.065597
0.897000,0.002263,0.065581
0.898000,0.002263,0.065573
0.899000,0.002251,0.065562
0.900000,0.002238,0.065551
0.901000,0.002226,0.065545
0.902000,0.002205,0.065534
0.903000,0.002184,0.065513
0.904000,0.002168,0.065499
0.905000,0.002143,0.065491
0.906000,0.002131,0.065478
0.907000,0.002114,0.065462
0.908000,0.002106,0.065445
0.909000,0.002098,0.065440
0.910000,0.002094,0.065423
0.911000,0.002085,0.065417
0.912000,0.002073,0.065408
0.913000,0.002065,0.065399
0.914000,0.002069,0.065383
0.915000,0.002057,0.065374
0.916000,0.002040,0.065360
0.917000,0.002032,0.065352
0.918000,0.002023,0.065333
0.919000,0.002019,0.065330
0.920000,0.002019,0.065314
0.921000,0.002023,0.065301
0.922000,0.002015,0.065287
0.923000,0.002007,0.065279
0.924000,0.002011,0.065265
0.925000,0.002019,0.065265
0.926000,0.002019,0.065259
0.927000,0.002031,0.065248
0.928000,0.002027,0.065243
0.929000,0.002027,0.065243
