Frame;Sub Frame;TA_D;FIB_D;GM_D;GL_D;SOL_D;TA_I;FIB_I;GM_I;GLI;SOL_I
13;2;0.00957489;-7.63E-05;0.0354004;0.0708008;0.0163651;-0.00339508;0.0717163;0.0675964;0.101204;0.086174
13;3;0.00526428;-0.0106812;-0.0256729;0.0477982;0.000152588;0.066185;0.0743103;0.0734329;0.0993729;0.0873947
13;4;-0.00434875;-0.0112915;-0.0346756;0.0508499;-0.00976562;0.101051;0.0790405;0.0709152;0.102005;0.091362
13;5;-0.00846863;-0.0159836;-0.0214386;0.0594711;-0.012207;0.11898;0.0734711;0.0735474;0.10376;0.089035
13;6;-0.00637054;-0.0157928;-0.0806808;0.0696564;0.0271988;0.128365;0.0724411;0.0725937;0.0957489;0.0853729
13;7;-0.00354767;-0.01091;-0.0251007;0.067215;0.0731659;0.130234;0.0763321;0.0743103;0.097847;0.087738
13;8;0.00164032;0.00183105;-0.0342941;0.0727081;0.138626;0.131073;0.076561;0.0729752;0.0978088;0.0868607
13;9;0.011673;0.00713348;0.0630188;0.0796509;0.209236;0.12413;0.0772095;0.0769806;0.0946426;0.0865173
14;0;0.0138092;0.00175476;0.101089;0.0812912;0.203018;0.118141;0.0744247;0.0777817;0.0986481;0.0867844
14;1;0.0123978;0.000343323;0.051384;0.0773621;0.144577;0.100517;0.0728607;0.075798;0.09552;0.0818634
14;2;0.0186157;0.00648499;0.0738907;0.0751495;0.0779724;0.0857544;0.07164;0.0734711;0.100861;0.0820541
14;3;0.0144196;0.00358582;0.147629;0.0736618;0.015831;0.0827789;0.0712204;0.0720596;0.0990295;0.0816727
14;4;0.0104904;-0.000114441;0.0984955;0.0728607;-0.0130463;0.0737;0.0735855;0.0690842;0.0968933;0.085907
14;5;0.0120163;0.00579834;0.050621;0.0824356;-0.0310135;0.0685883;0.0777435;0.0727844;0.0969315;0.082016
14;6;-0.0025177;0.00675201;0.0783157;0.0799942;0.0247192;0.0601959;0.07164;0.0743866;0.0975037;0.0795364
14;7;-0.00915527;0.00263214;0.0872421;0.077095;0.102501;0.0582123;0.0691605;0.0694656;0.0956726;0.0833893
14;8;-0.00431061;0.00453949;0.126839;0.0661469;0.108147;0.0565338;0.0624084;0.0683594;0.0958252;0.079422
14;9;-0.00358582;0.00289917;0.139885;0.0629807;0.102081;0.0714111;0.0666428;0.0687408;0.0956726;0.080452
15;0;-0.0123978;0.00301361;0.0375366;0.0553513;0.0587845;0.0808334;0.0705719;0.0665283;0.0919342;0.0843811
15;1;-0.00930786;0.00724792;0.0682831;0.0579071;0.0286484;0.0882721;0.0782776;0.0705719;0.0948334;0.0876999
15;2;-0.00984192;0.00465393;0.080986;0.0610733;0.0178528;0.0984573;0.0827026;0.0699615;0.098114;0.0930405
15;3;-0.0150681;0.00247955;0.0828552;0.0582886;0.0214386;0.0894547;0.0868225;0.0714874;0.097847;0.0879669
15;4;-0.0130463;-0.00133514;0.0821686;0.060463;0.0302887;0.0910187;0.0841522;0.0701523;0.0997162;0.0848389
15;5;-0.0082016;0.001297;0.0675583;0.0700378;0.0513077;0.082283;0.0849533;0.075264;0.0975037;0.0834656
15;6;-0.00198364;-0.00526428;0.0659561;0.0728607;0.0580597;0.0640106;0.0836563;0.0730133;0.103836;0.0830078
15;7;0.00152588;-0.00915527;0.0589752;0.0684738;0.0354767;0.0339127;0.0833511;0.0749588;0.100098;0.0846863
15;8;-0.00682831;-0.0112534;0.0526047;0.0622559;0.0251007;0.00465393;0.079422;0.0725937;0.100403;0.0848389
15;9;-0.00160217;-0.00801086;0.0618744;0.075798;0.0330353;-0.00392914;0.0725937;0.0734329;0.101051;0.0814438
