DM: Ch1 (Dev1) [Volts],BB: Ch2 (Dev1) [Volts],ACC: Ch3 (Dev1) [Volts],ACC: Ch4 (Dev1) [g],ACC: Ch5 (Dev1) [g],ACC: Ch6 (Dev1) [g]
-3.058766e-005,1.717116e-005,3.902689e-005,2.339548e+000,1.933354e+000,1.538979e+000
-1.601717e-005,7.781291e-006,3.918879e-005,2.345052e+000,1.933678e+000,1.539788e+000
-1.083656e-005,4.867194e-006,3.837932e-005,2.348776e+000,1.934649e+000,1.542541e+000
7.781291e-006,-2.903734e-006,3.854121e-005,2.349100e+000,1.933354e+000,1.543026e+000
8.752658e-006,-8.408141e-006,3.821742e-005,2.347967e+000,1.935135e+000,1.544160e+000
8.428869e-006,-5.494043e-006,3.837932e-005,2.345700e+000,1.936268e+000,1.543836e+000
1.943768e-005,-8.084353e-006,3.805553e-005,2.342300e+000,1.934973e+000,1.543350e+000
1.619980e-005,-4.036995e-006,3.789363e-005,2.336958e+000,1.933840e+000,1.540436e+000
7.295609e-006,-3.389417e-006,3.854121e-005,2.330806e+000,1.934326e+000,1.537198e+000
-1.488391e-005,3.341523e-007,3.854121e-005,2.324006e+000,1.933840e+000,1.535417e+000
-2.216916e-005,7.133714e-006,3.870311e-005,2.319149e+000,1.934164e+000,1.534446e+000
-1.051277e-005,6.579410e-007,3.918879e-005,2.312350e+000,1.936754e+000,1.533637e+000
-9.865191e-006,2.114990e-006,3.951258e-005,2.308302e+000,1.937078e+000,1.533475e+000
9.562129e-006,-5.170255e-006,3.918879e-005,2.303931e+000,1.939506e+000,1.535094e+000
1.425706e-005,-2.094263e-006,3.935069e-005,2.301503e+000,1.941287e+000,1.535255e+000
1.004781e-005,-4.846466e-006,3.902689e-005,2.297617e+000,1.942744e+000,1.538170e+000
7.943186e-006,-1.456013e-005,3.918879e-005,2.293084e+000,1.944201e+000,1.539950e+000
5.838559e-006,-1.585528e-005,3.918879e-005,2.292275e+000,1.943392e+000,1.541084e+000
3.572039e-006,-7.922458e-006,3.935069e-005,2.292761e+000,1.941935e+000,1.541084e+000
-1.520770e-005,8.105080e-006,3.854121e-005,2.295675e+000,1.938211e+000,1.540274e+000
-2.346431e-005,1.247623e-005,3.870311e-005,2.301179e+000,1.934326e+000,1.539950e+000
-1.294118e-005,4.705299e-006,3.837932e-005,2.309597e+000,1.930602e+000,1.541731e+000
-6.627303e-006,3.248250e-006,3.870311e-005,2.317207e+000,1.926555e+000,1.543512e+000
1.004781e-005,-9.610023e-007,3.837932e-005,2.325140e+000,1.921374e+000,1.543188e+000
5.352877e-006,-7.274881e-006,3.789363e-005,2.333396e+000,1.917327e+000,1.539627e+000
7.781291e-006,-2.094263e-006,3.870311e-005,2.342462e+000,1.914089e+000,1.538655e+000
1.749495e-005,-2.256157e-006,3.821742e-005,2.352338e+000,1.910689e+000,1.535741e+000
1.603790e-005,2.276884e-006,3.789363e-005,2.359461e+000,1.909718e+000,1.532665e+000
5.514771e-006,-1.122897e-006,3.789363e-005,2.364480e+000,1.910527e+000,1.532503e+000
-1.828369e-005,4.867194e-006,3.870311e-005,2.371118e+000,1.907613e+000,1.532018e+000
-2.654031e-005,8.266975e-006,3.870311e-005,2.373870e+000,1.904861e+000,1.530722e+000
-1.439823e-005,3.248250e-006,3.854121e-005,2.376298e+000,1.905185e+000,1.532989e+000
-1.213171e-005,8.198353e-007,3.902689e-005,2.377431e+000,1.906318e+000,1.534932e+000
8.105080e-006,-5.817832e-006,3.918879e-005,2.376136e+000,1.907775e+000,1.534122e+000
1.231433e-005,-6.372136e-007,3.886500e-005,2.374679e+000,1.910203e+000,1.530560e+000
8.914551e-006,-2.741840e-006,3.854121e-005,2.368203e+000,1.911984e+000,1.529913e+000
8.914551e-006,-1.472202e-005,3.918879e-005,2.364156e+000,1.915708e+000,1.528294e+000
4.543405e-006,-1.520770e-005,3.902689e-005,2.357195e+000,1.917812e+000,1.531208e+000
1.467413e-006,-7.436775e-006,3.918879e-005,2.349100e+000,1.922993e+000,1.532503e+000
-1.828369e-005,9.076446e-006,3.821742e-005,2.342624e+000,1.926717e+000,1.531856e+000
-2.718788e-005,1.425706e-005,3.886500e-005,2.334529e+000,1.931412e+000,1.532018e+000
-1.407444e-005,5.838559e-006,3.870311e-005,2.328539e+000,1.934973e+000,1.533313e+000
-4.198888e-006,4.381511e-006,3.886500e-005,2.322873e+000,1.938535e+000,1.533637e+000
1.425706e-005,-1.122897e-006,3.821742e-005,2.315912e+000,1.941935e+000,1.534608e+000
8.752658e-006,-5.170255e-006,3.789363e-005,2.308788e+000,1.944201e+000,1.536227e+000
