Frame,Sub Frame,RF,BF,MG,LG,AT
43,1,-0.00480652,-0.0592804,0.0559616,0.0672913,0.0614929
43,2,0.00144958,-0.0722504,0.0576019,0.0697708,0.0679779
43,3,0.00713348,-0.0802612,0.0589371,0.0692368,0.0725937
43,4,0.00892639,-0.000534058,0.0552368,0.0703049,0.0621414
44,0,0.00514984,0.17971,0.0536728,0.0643921,0.0574493
44,1,0.00408173,0.311279,0.058403,0.0619125,0.064888
44,2,0.00160217,0.310898,0.0576019,0.0629044,0.0628281
44,3,0.00225067,0.0701141,0.0574875,0.0629425,0.0663757
44,4,0.00125885,-0.0810623,0.059967,0.0636292,0.071373
45,0,0.000228882,-0.0691986,0.0634766,0.0653458,0.0740814
45,1,0.00167847,-0.0349045,0.0631332,0.0630569,0.0689316
45,2,-0.00423431,-0.186501,0.0590515,0.0629044,0.0664902
45,3,-0.00644684,-0.233803,0.0566101,0.0608444,0.0628281
45,4,-0.00339508,-0.108337,0.057869,0.0589371,0.0641632
46,0,0.000991821,0.02491,0.0635147,0.0578308,0.0676346
46,1,0.00118256,0.0515366,0.058136,0.064621,0.0667953
46,2,-0.000572205,0.0044632,0.0590515,0.0708389,0.0688553
46,3,-0.0025177,-0.000228882,0.0550079,0.0776291,0.068779
46,4,-0.00343323,0.0783539,0.0588608,0.0814056,0.0704575
47,0,-0.00434875,0.188484,0.0523758,0.0754547,0.0654602
47,1,-0.00175476,0.129967,0.0526428,0.0676346,0.0629044
47,2,0.00171661,-0.0202179,0.0537872,0.0480652,0.0687027
47,3,0.00282288,-0.0879669,0.058403,0.039444,0.0720596
47,4,-0.000190735,-0.0630188,0.0563049,0.0476837,0.0685883
48,0,-0.00255585,-0.0593185,0.0542068,0.0611115,0.0645828
48,1,-0.00038147,-0.0308228,0.0572586,0.0644684,0.063858
48,2,0.00110626,-0.00988007,0.0530243,0.0641632,0.0615692
48,3,0.00263214,-0.0297165,0.0558853,0.0649261,0.0632477
48,4,0.00362396,-0.0363159,0.0604248,0.0694656,0.0664902
49,0,0.00347137,0.034523,0.0582886,0.0738907,0.0701523
49,1,0.000762939,0.189476,0.0597,0.0733566,0.0712585
49,2,-0.00335693,0.109634,0.0543594,0.0697327,0.0631332
49,3,-0.0037384,-0.0268555,0.0549316,0.0723648,0.0646591
49,4,-0.00179291,-0.19371,0.0648117,0.0960541,0.0642014
50,0,0.00392914,-0.278816,0.0685501,0.102615,0.0706482
50,1,0.00282288,-0.196304,0.0670242,0.107307,0.0726318
50,2,0.00389099,0.0133896,0.0420761,0.0753784,0.0672531
50,3,0.00801086,0.430183,0.0311279,-0.000686646,0.0629425
50,4,0.00583649,0.422554,0.0541687,-0.0536728,0.0637054
51,0,-0.0037384,0.038147,0.0559235,-0.0213623,0.0578308
51,1,-0.00160217,0.0595856,0.0670242,0.0426483,0.0606155
51,2,-0.000724792,-0.083313,0.0777817,0.0563431,0.0699997
51,3,0.000572205,-0.17807,0.0650406,0.0838852,0.0717926
51,4,0.00118256,-0.0763702,0.0699997,0.0882721,0.0688171
52,0,-0.00415802,-0.0376129,0.053978,0.0816345,0.0648117
