Frame;Sub Frame;LAX;LAY;LAZ;LHX;LHY;LHZ;LKX;LKY;LKZ;RAX;RAY;RAZ;RHX;RHY;RHZ;RKX;RKY;RKZ
44;0;-7.13773;-7.8052;24.4909;16.8793;3.30467;-14.8751;8.79404;-2.69873;-19.24;-8.81947;-5.51691;19.8154;-0.893879;-0.753351;-13.4025;40.1815;-6.31472;-3.60479
45;0;-6.42517;-7.85414;24.621;16.1473;3.32384;-15.0051;8.87988;-2.6527;-19.0841;-12.105;-5.36493;19.3191;0.246177;-0.923861;-13.6791;42.671;-6.8086;-3.25499
46;0;-5.72463;-7.90779;24.7633;15.4129;3.34134;-15.1171;8.93399;-2.61468;-18.9627;-15.2339;-5.1901;18.7442;1.44113;-1.06967;-13.9738;45.1219;-7.32631;-2.95634
47;0;-5.04262;-7.96125;24.9047;14.6755;3.35746;-15.2001;8.95424;-2.58291;-18.8714;-18.0794;-4.99454;18.0963;2.68209;-1.1883;-14.2791;47.515;-7.85732;-2.71887
48;0;-4.38477;-8.01221;25.0391;13.9359;3.37218;-15.2459;8.93989;-2.5557;-18.8073;-20.5226;-4.78001;17.3797;3.96032;-1.27692;-14.5872;49.8308;-8.38858;-2.54893
49;0;-3.75394;-8.05779;25.1592;13.1947;3.38485;-15.2529;8.89131;-2.53061;-18.7624;-22.4625;-4.54683;16.5942;5.265;-1.33174;-14.888;52.0488;-8.90324;-2.45028
50;0;-3.1543;-8.09869;25.2666;12.4524;3.39459;-15.2189;8.80859;-2.50604;-18.7379;-23.8288;-4.29594;15.7415;6.58453;-1.34772;-15.1693;54.1466;-9.38246;-2.43238
51;0;-2.58724;-8.13516;25.3623;11.7111;3.39926;-15.1459;8.69376;-2.47945;-18.7304;-24.5783;-4.02522;14.8131;7.90744;-1.32027;-15.4229;56.1021;-9.8079;-2.49542
52;0;-2.05301;-8.16904;25.451;10.9721;3.39838;-15.0381;8.54918;-2.45092;-18.7386;-24.7013;-3.73376;13.8042;9.22147;-1.2464;-15.6434;57.8912;-10.1644;-2.64467
53;0;-1.55115;-8.20224;25.5378;10.2382;3.39067;-14.9024;8.37851;-2.41932;-18.7622;-24.2172;-3.41956;12.7063;10.5154;-1.1245;-15.8256;59.4903;-10.4383;-2.87897
54;0;-1.08269;-8.23797;25.6311;9.51127;3.37476;-14.7441;8.18373;-2.38488;-18.8042;-23.171;-3.08233;11.5169;11.7779;-0.954436;-15.9703;60.8757;-10.6227;-3.19701
55;0;-0.643511;-8.27703;25.7329;8.79515;3.35057;-14.5715;7.97063;-2.34836;-18.8606;-21.6339;-2.72453;10.2435;12.9997;-0.73887;-16.0803;62.0249;-10.7152;-3.59629
56;0;-0.233138;-8.32321;25.853;8.09206;3.31748;-14.3898;7.74216;-2.30982;-18.9376;-19.6963;-2.35172;8.90526;14.1719;-0.481967;-16.1626;62.9174;-10.7215;-4.07022
57;0;0.152579;-8.37659;25.9916;7.40576;3.27622;-14.2048;7.50351;-2.27073;-19.0327;-17.4663;-1.97379;7.5382;15.2883;-0.190088;-16.2254;63.5359;-10.6508;-4.61361
58;0;0.516533;-8.43836;26.1514;6.73893;3.22761;-14.0212;7.25832;-2.23166;-19.1462;-15.0617;-1.60329;6.18927;16.3439;0.129748;-16.278;63.8666;-10.5174;-5.21804
59;0;0.864424;-8.50794;26.331;6.09431;3.17314;-13.844;7.01213;-2.19355;-19.2748;-12.6026;-1.25528;4.91567;17.3357;0.468754;-16.3312;63.9016;-10.339;-5.87555
60;0;1.19942;-8.58434;26.5274;5.47409;3.11479;-13.6729;6.76759;-2.15712;-19.4181;-10.198;-0.944711;3.77477;18.2634;0.818451;-16.3939;63.6384;-10.1334;-6.57497
61;0;1.5269;-8.6659;26.7363;4.8796;3.05387;-13.5104;6.52904;-2.12245;-19.5712;-7.94087;-0.684568;2.81667;19.1268;1.16972;-16.4739;63.08;-9.91701;-7.30559
62;0;1.85143;-8.75088;26.9532;4.31229;2.99376;-13.356;6.29919;-2.09042;-19.7322;-5.89629;-0.4844;2.07832;19.9289;1.51423;-16.5751;62.2365;-9.70369;-8.05414
63;0;2.17669;-8.83709;27.1722;3.7718;2.93583;-13.21;6.08072;-2.06024;-19.8977;-4.10349;-0.350055;1.58234;20.6716;1.84389;-16.7022;61.1218;-9.50495;-8.80489
64;0;2.50653;-8.92202;27.3871;3.25819;2.88332;-13.0706;5.87495;-2.03265;-20.0641;-2.57318;-0.282182;1.33167;21.3588;2.15251;-16.853;59.7555;-9.3257;-9.5401
65;0;2.84421;-9.00284;27.5908;2.77065;2.8375;-12.9371;5.68371;-2.00705;-20.2266;-1.29753;-0.278293;1.31731;21.994;2.43562;-17.0251;58.1602;-9.16689;-10.2424
66;0;3.1914;-9.07804;27.7796;2.30742;2.80088;-12.8076;5.50711;-1.98314;-20.3836;-0.252943;-0.332176;1.51631;22.5803;2.6893;-17.2129;56.3606;-9.02588;-10.8914
67;0;3.5498;-9.14629;27.9504;1.86686;2.77508;-12.6817;5.34555;-1.96113;-20.5335;0.589316;-0.435877;1.89921;23.12;2.91301;-17.4085;54.3817;-8.89627;-11.4719
68;0;3.92015;-9.20631;28.1001;1.44721;2.76113;-12.5586;5.1989;-1.94056;-20.6738;1.26121;-0.578603;2.42591;23.6161;3.10716;-17.6043;52.2485;-8.77083;-11.9655
69;0;4.30264;-9.25775;28.2281;1.04555;2.76062;-12.4372;5.06637;-1.92151;-20.8039;1.79032;-0.7486;3.05267;24.0697;3.2731;-17.7927;49.9849;-8.64149;-12.3567
70;0;4.69765;-9.30061;28.3344;0.660202;2.77392;-12.3187;4.94809;-1.90391;-20.9218;2.19724;-0.935437;3.74065;24.4831;3.41343;-17.965;47.6123;-8.50031;-12.6398
71;0;5.10417;-9.33571;28.4214;0.289387;2.80174;-12.203;4.843;-1.88781;-21.0292;2.4956;-1.12789;4.44814;24.8588;3.53111;-18.1139;45.1499;-8.34096;-12.8077
