percent;lankleangx;lankleangx_sd;lankleangy;lankleangy_sd;lankleangz;lankleangz_sd;lhipangx;lhipangx_sd;lhipangy;lhipangy_sd;lhipangz;lhipangz_sd;lkneeangx;lkneeangx_sd;lkneeangy;lkneeangy_sd;lkneeangz;lkneeangz_sd
58;-4.229957866;3.933289923;11.48255964;4.853750114;-13.99817302;5.827264527;-1.320285901;2.540394182;-6.299463666;4.892351663;6.16385537;4.630593064;-1.699277585;5.13502604;-18.58821102;5.274754587;68.70256029;9.423678136
59;-4.369648795;3.750580876;11.1780086;4.799550151;-13.32048864;5.93993868;-2.025446917;2.513625051;-6.489056653;4.862138685;7.383702035;4.715189717;-1.68612649;5.173633824;-18.45864562;5.195461394;71.97074645;9.589526427
60;-4.605724002;3.590039778;10.8790075;4.735855107;-12.53463029;6.021581725;-2.794024737;2.487510685;-6.520888151;4.840574957;8.768626009;4.809481206;-1.585289204;5.218519693;-18.27356797;5.116337731;75.08378179;9.730066028
61;-4.935987274;3.459502315;10.60664045;4.670212339;-11.64285353;6.063732574;-3.576019825;2.477130143;-6.392894911;4.819851608;10.34280321;4.904176369;-1.423213142;5.268576094;-18.0473134;5.047242264;78.01474898;9.84209257
62;-5.337457606;3.367901213;10.37725706;4.606560706;-10.66153147;6.061560774;-4.31502942;2.500387661;-6.103969419;4.790217471;12.11475575;4.988694173;-1.225361507;5.317783425;-17.80151607;4.997430469;80.74341038;9.93133301
63;-5.772301819;3.319735919;10.20033526;4.546114817;-9.617765214;6.01498298;-4.958899567;2.569064221;-5.654006366;4.743178234;14.06989455;5.054555208;-1.006916946;5.357886835;-17.55394927;4.972165727;83.23790305;9.988469598
64;-6.198374262;3.311423344;10.07778532;4.49096859;-8.544045568;5.929548736;-5.466714472;2.680934967;-5.048776839;4.674720271;16.17166709;5.096880634;-0.770327793;5.382108097;-17.31110433;4.971295944;85.47033909;10.01337541
65;-6.578965436;3.33349267;10.00440575;4.447196125;-7.472628227;5.816110952;-5.813051443;2.819023941;-4.306930826;4.58910062;18.36939137;5.115852165;-0.509273937;5.388492933;-17.06785113;4.991108031;87.41056061;10.00701332
66;-6.88853809;3.376468291;9.969077421;4.424215169;-6.430364478;5.688935078;-5.990764884;2.95925096;-3.463475605;4.500054534;20.60825893;5.1178227;-0.214795015;5.381207989;-16.81307522;5.027812437;89.02341461;9.965747889
67;-7.114626337;3.434532163;9.95705823;4.430907577;-5.436510313;5.561976741;-6.010555495;3.080594202;-2.566234804;4.427058574;22.83871014;5.113499838;0.120283629;5.36913546;-16.53738824;5.078394787;90.27994565;9.892110971
68;-7.255523899;3.504954895;9.952548952;4.470505787;-4.502281674;5.445002643;-5.896063206;3.171092154;-1.667328045;4.387288688;25.02271417;5.112471677;0.499125711;5.362199182;-16.2396967;5.13787573;91.15506363;9.79014382
69;-7.316578344;3.585028778;9.94128203;4.536885609;-3.632594835;5.341105162;-5.676469956;3.229134228;-0.814529332;4.387651511;27.13493558;5.118808024;0.919594006;5.366672102;-15.93077854;5.196407519;91.63332857;9.664776267
70;-7.305673489;3.669120975;9.913004554;4.615042784;-2.827724744;5.247197096;-5.37948032;3.261858535;-0.045192459;4.422204929;29.1593536;5.130956278;1.373778709;5.381893016;-15.63271115;5.23994839;91.70961135;9.521921455
71;-7.230561874;3.748702112;9.863369633;4.686830287;-2.08542319;5.156419132;-5.026544073;3.281467821;0.616835183;4.476937906;31.08416782;5.144817842;1.849134778;5.400627263;-15.37453435;5.254830303;91.38457189;9.368081923
72;-7.098587939;3.815820883;9.793347097;4.739367841;-1.402659827;5.061162027;-4.631026734;3.300403442;1.161952489;4.538325343;32.89823559;5.156045869;2.331526174;5.413453132;-15.18523732;5.233274806;90.65907124;9.209790247
73;-6.917730546;3.867362662;9.705429778;4.768888474;-0.77736251;4.955769335;-4.199309179;3.327264127;1.59380676;4.59974489;34.59004647;5.160921922;2.808639073;5.414460651;-15.08706711;5.176324036;89.54655675;9.054615636
